key,fare_amount
2015-01-27 13:08:24.0000002,9.4
2015-01-27 13:08:24.0000003,10.8
2011-10-08 11:53:44.0000002,4.1
2012-12-01 21:12:12.0000002,7.44
2012-12-01 21:12:12.0000003,17.05
2012-12-01 21:12:12.0000005,10.3
2011-10-06 12:10:20.0000001,4.74
2011-10-06 12:10:20.0000003,49.32000000000003
2011-10-06 12:10:20.0000002,10.98
2014-02-18 15:22:20.0000002,6.45
2014-02-18 15:22:20.0000003,9.0
2014-02-18 15:22:20.0000001,18.0
2010-03-29 20:20:32.0000002,4.460000000000001
2010-03-29 20:20:32.0000001,6.9399999999999995
2011-10-06 03:59:12.0000002,7.340000000000001
2011-10-06 03:59:12.0000001,10.379999999999999
2012-07-15 16:45:04.0000006,8.140000000000002
2012-07-15 16:45:04.0000002,8.379999999999999
2012-07-15 16:45:04.0000003,4.9799999999999995
2012-07-15 16:45:04.0000004,5.139999999999999
2014-10-29 02:09:56.0000001,7.4
2014-06-14 13:39:00.00000010,8.6
2014-06-14 13:39:00.00000060,8.9
2014-06-14 13:39:00.00000087,7.65
2014-06-14 13:39:00.00000050,17.8
2014-06-14 13:39:00.0000003,6.8
2014-06-14 13:39:00.000000158,42.25
2014-06-14 13:39:00.00000015,24.0
2014-06-14 13:39:00.00000073,6.5
2014-06-14 13:39:00.00000077,14.35
2014-06-14 13:39:00.000000145,8.85
2014-06-14 13:39:00.00000079,6.25
2014-06-14 13:39:00.000000121,5.2
2014-06-14 13:39:00.00000021,11.3
2014-06-14 13:39:00.0000005,6.85
2014-06-14 13:39:00.000000165,7.15
2014-06-14 13:39:00.000000184,5.75
2014-06-14 13:39:00.00000059,6.85
2014-06-14 13:39:00.00000070,7.95
2014-06-14 13:39:00.00000068,4.35
2014-06-14 13:39:00.000000133,20.8
2014-06-14 13:39:00.000000128,11.5
2014-06-14 13:39:00.000000136,19.1
2014-06-14 13:39:00.00000017,10.6
2014-06-14 13:39:00.000000111,4.6
2014-06-14 13:39:00.000000115,11.0
2014-06-14 13:39:00.000000168,5.85
2014-06-14 13:39:00.00000031,5.8
2014-06-14 13:39:00.000000116,6.95
2014-06-14 13:39:00.00000051,4.4
2014-06-14 13:39:00.000000193,12.95
2014-06-14 13:39:00.000000132,12.35
2014-06-14 13:39:00.000000167,20.15
2014-06-14 13:39:00.00000044,5.75
2014-06-14 13:39:00.000000138,7.55
2014-06-14 13:39:00.00000066,15.2
2014-06-14 13:39:00.00000063,10.45
2014-06-14 13:39:00.000000154,11.5
2014-06-14 13:39:00.00000097,13.45
2014-06-14 13:39:00.00000067,12.95
2014-06-14 13:39:00.000000179,7.9
2014-06-14 13:39:00.00000092,11.0
2014-06-14 13:39:00.00000029,5.05
2014-06-14 13:39:00.000000177,5.4
2014-06-14 13:39:00.000000192,7.15
2014-06-14 13:39:00.000000181,6.7
2014-06-14 13:39:00.000000120,9.65
2014-06-14 13:39:00.0000008,5.45
2014-06-14 13:39:00.000000103,5.1
2014-06-14 13:39:00.00000049,19.25
2014-06-14 13:39:00.000000108,7.65
2014-06-14 13:39:00.00000072,4.4
2014-06-14 13:39:00.000000182,13.9
2014-06-14 13:39:00.00000061,6.45
2014-06-14 13:39:00.00000093,9.55
2014-06-14 13:39:00.000000170,12.25
2014-06-14 13:39:00.000000147,51.666
2014-06-14 13:39:00.000000140,5.95
2014-06-14 13:39:00.000000159,4.0
2014-06-14 13:39:00.00000012,4.4
2014-06-14 13:39:00.00000025,6.2
2014-06-14 13:39:00.000000156,5.95
2014-06-14 13:39:00.000000152,9.25
2014-06-14 13:39:00.000000129,10.2
2014-06-14 13:39:00.000000119,17.65
2014-06-14 13:39:00.000000118,5.3
2014-06-14 13:39:00.00000076,4.55
2014-06-14 13:39:00.000000135,7.6
2014-06-14 13:39:00.00000023,16.5
2014-06-14 13:39:00.00000082,11.15
2014-06-14 13:39:00.000000125,11.7
2014-06-14 13:39:00.00000075,9.85
2014-06-14 13:39:00.000000124,6.35
2014-06-14 13:39:00.000000172,7.9
2014-06-14 13:39:00.00000024,15.45
2014-06-14 13:39:00.000000169,14.95
2014-06-14 13:39:00.00000052,10.55
2014-06-14 13:39:00.000000161,14.2
